Valence,Arousal,Comentario
5.621492146596858,6.714059405940594,"""it’s funny when they switch and pick a side."""
6.6261082037026275,6.197063233186508,"""RT @lilmonsterharry: My dad pulled over because he saw a stranded dog and this happened"","" how fucking funny 😩😭😂 https://t.co/qenr5QPGfx"""
6.1349061662198405,7.148205128205129,"""@girlslovebey__ Shit something that you think is funny asf"""
5.102568977792487,6.089198393638529,"""RT @astnmusic: i think it’s funny when someone makes a list of “underrated artists” that clearly aren’t underrated"""
6.960176532438066,5.78496186693846,"""RT @ColumbiaBugle: President Trump making fun of Leftist Late Night """"Comedians"""": Jimmy Fallon"","" Stephen Colbert and Jimmy Kimmel. """"I mean h…"""
6.960176532438066,5.78496186693846,"""RT @ColumbiaBugle: President Trump making fun of Leftist Late Night """"Comedians"""": Jimmy Fallon"","" Stephen Colbert and Jimmy Kimmel. """"I mean h…"""
5.07373578994105,5.549868157560667,"""RT @iamjakyrick: Every time I get close to someone we fall off this shit becoming funny now lol"""
6.717048020941654,6.110698515467219,"""RT @flintbedrock: Isn’t it funny how sometimes in life the people you’re told to stay away from become your closest friends. I respect and…"""
5.599463643220712,5.983333630460692,"""RT @JHSMlCDROP: Namjoon really a whole man out here making friends with little cute animals"","" writing good ass music"","" producing"","" being educa…"""
5.700299455807489,6.414807149525199,"""RT @ewalker88: My Dad doesn’t think this is funny and said he’d buy me a @Dodge truck if it gets 1000 retweets. https://t.co/0FydV5vB32"""
0.0,0.0,"""RT @cosmoniandevil: @ the mcdonald’s drive-thru mom: “we’ll have four hash browns pls.” machine: .... mom: “hello?” machine: ... me: ....…"""
4.887955807147952,6.087575261026069,"""RT @niallexplicit: me .1 second after watching one direction funny moments for the first time https://t.co/eHQwojHkqM"""
5.8183296545964325,6.0340311804008895,"""@litttlesnappy Honestly see Deadpool last because nothing will be as funny after 😂"""
0.0,0.0,"""@PhilMcCrackin44 Liberal trolls are so funny."""
5.925704554465353,5.627467978159368,"""@Congress1871 @Deadspin @NickKyrgios No I don't want him tortured in any way! I think it would have been funny if k… https://t.co/HUh98E4Sy2"""
6.25,7.92,"""James Harden funny dawg 😂😂 https://t.co/HSS9ZdLUjw"""
5.242800878569188,6.345836602421969,"""RT @MCU_Tweets: Scarlet Witch-actress Elizabeth Olsen said that she'd like to see her character team-up with Peter Parker / Spider-Man in t…"""
5.700299455807489,6.414807149525199,"""RT @ewalker88: My Dad doesn’t think this is funny and said he’d buy me a @Dodge truck if it gets 1000 retweets. https://t.co/0FydV5vB32"""
5.599463643220712,5.983333630460692,"""RT @JHSMlCDROP: Namjoon really a whole man out here making friends with little cute animals"","" writing good ass music"","" producing"","" being educa…"""
6.25,7.92,"""my finsta would b funny as shit"""
5.535679592401642,6.235457372011388,"""RT @IdcWhyShudU: Why I got 24 views after my broadcast ya'll funny just come in there while I'm live it's okay Sweetie!."""
